Name,Name-Malayalam,Brand,Category,Sub Category,Derived STC-600x600,Created STC-600x600,STC-600x600,Derived STC-1000x1000,Created STC-1000x1000,STC-1000x1000,IMG-1080x1920,Product ID,ST,SD,STC
7UP Pepsi Miranda 2.25L,7അപ്പ് പെപ്സി മിറിൻഡ 2.25 ലിറ്റർ,,Food & Beverages,Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1772349135/7up-pepsi-miranda-2-25l_ac3itg.png",https://res.cloudinary.com/deehc60xa/image/upload/v1772349135/7up-pepsi-miranda-2-25l_ac3itg.png,https://res.cloudinary.com/deehc60xa/image/upload/v1772349135/7up-pepsi-miranda-2-25l_ac3itg.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772349135/7up-pepsi-miranda-2-25l_ac3itg.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772349135/7up-pepsi-miranda-2-25l_ac3itg.png",,1,7UP Pepsi Miranda 2.25L,7UP Pepsi Miranda 2.25L,https://res.cloudinary.com/deehc60xa/image/upload/v1772349135/7up-pepsi-miranda-2-25l_ac3itg.png
Aditi Coconut 1L,ആദിതി തേങ്ങ ഒരു ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773382349/Aditi_Coconut_1L_r3o8ts.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773382349/Aditi_Coconut_1L_r3o8ts.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773382349/Aditi_Coconut_1L_r3o8ts.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773382349/Aditi_Coconut_1L_r3o8ts.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773382349/Aditi_Coconut_1L_r3o8ts.png",,2,Aditi Coconut 1L,Aditi Coconut 1L,https://res.cloudinary.com/deehc60xa/image/upload/v1773382349/Aditi_Coconut_1L_r3o8ts.png
Afiya Samoosa Leaf,അഫിയ സമോസ ലീഫ്,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1774524124/Afiya_Samoosa_Leaf_mzspy7.png",https://res.cloudinary.com/deehc60xa/image/upload/v1774524124/Afiya_Samoosa_Leaf_mzspy7.png,https://res.cloudinary.com/deehc60xa/image/upload/v1774524124/Afiya_Samoosa_Leaf_mzspy7.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1774524124/Afiya_Samoosa_Leaf_mzspy7.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1774524124/Afiya_Samoosa_Leaf_mzspy7.png",,3,Afiya Samoosa Leaf,Afiya Samoosa Leaf,https://res.cloudinary.com/deehc60xa/image/upload/v1774524124/Afiya_Samoosa_Leaf_mzspy7.png
Ajmi Chicken Masala 100g,അജ്മി ചിക്കൻ മസാല 100 ഗ്രാം,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773379471/Ajmi_Chicken_Masala_100g_rmpunh.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773379471/Ajmi_Chicken_Masala_100g_rmpunh.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773379471/Ajmi_Chicken_Masala_100g_rmpunh.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773379471/Ajmi_Chicken_Masala_100g_rmpunh.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773379471/Ajmi_Chicken_Masala_100g_rmpunh.png",,4,Ajmi Chicken Masala 100g,Ajmi Chicken Masala 100g,https://res.cloudinary.com/deehc60xa/image/upload/v1773379471/Ajmi_Chicken_Masala_100g_rmpunh.png
Ajmi Fish Masala 100g,അജ്മി ഫിഷ് മസാല 100 ഗ്രാം,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773379468/Ajmi_Fish_Masala_100g_zlikwk.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773379468/Ajmi_Fish_Masala_100g_zlikwk.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773379468/Ajmi_Fish_Masala_100g_zlikwk.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773379468/Ajmi_Fish_Masala_100g_zlikwk.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773379468/Ajmi_Fish_Masala_100g_zlikwk.png",,5,Ajmi Fish Masala 100g,Ajmi Fish Masala 100g,https://res.cloudinary.com/deehc60xa/image/upload/v1773379468/Ajmi_Fish_Masala_100g_zlikwk.png
Ajmi Meat Masala,അജ്മി മീറ്റ് മസാല,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773379469/Ajmi_Meat_Masala_y83a99.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773379469/Ajmi_Meat_Masala_y83a99.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773379469/Ajmi_Meat_Masala_y83a99.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773379469/Ajmi_Meat_Masala_y83a99.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773379469/Ajmi_Meat_Masala_y83a99.png",,6,Ajmi Meat Masala,Ajmi Meat Masala,https://res.cloudinary.com/deehc60xa/image/upload/v1773379469/Ajmi_Meat_Masala_y83a99.png
Alans Potato Chips,അലൻസ് പൊട്ടേറ്റോ ചിപ്സ്,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1772349136/Alans_Potato_Chips_arfxdp.png",https://res.cloudinary.com/deehc60xa/image/upload/v1772349136/Alans_Potato_Chips_arfxdp.png,https://res.cloudinary.com/deehc60xa/image/upload/v1772349136/Alans_Potato_Chips_arfxdp.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772349136/Alans_Potato_Chips_arfxdp.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772349136/Alans_Potato_Chips_arfxdp.png",,7,Alans Potato Chips,Alans Potato Chips,https://res.cloudinary.com/deehc60xa/image/upload/v1772349136/Alans_Potato_Chips_arfxdp.png
Alfa Signature Tissue Paper,ആൽഫ സിഗ്നേച്ചർ ടിഷ്യു പേപ്പർ,,Personal Care,Personal Care,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1772775296/Alfa_g7hs9g.png",https://res.cloudinary.com/deehc60xa/image/upload/v1772775296/Alfa_g7hs9g.png,https://res.cloudinary.com/deehc60xa/image/upload/v1772775296/Alfa_g7hs9g.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772775296/Alfa_g7hs9g.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772775296/Alfa_g7hs9g.png",,8,Alfa Signature Tissue Paper,Alfa Signature Tissue Paper,https://res.cloudinary.com/deehc60xa/image/upload/v1772775296/Alfa_g7hs9g.png
Allay Chicken Masala,അല്ലേ ചിക്കൻ മസാല,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773383700/Allay_Chicken_Masala_tfjvka.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773383700/Allay_Chicken_Masala_tfjvka.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773383700/Allay_Chicken_Masala_tfjvka.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773383700/Allay_Chicken_Masala_tfjvka.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773383700/Allay_Chicken_Masala_tfjvka.png",,9,Allay Chicken Masala,Allay Chicken Masala,https://res.cloudinary.com/deehc60xa/image/upload/v1773383700/Allay_Chicken_Masala_tfjvka.png
Amlara Ginger Garlic Paste 400 Gm,ആംലാര ഇഞ്ചി വെളുത്തുള്ളി പേസ്റ്റ് 400 ഗ്രാം,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773383670/Amlara_Ginger_Garlic_Paste_400_Gm_la9hxb.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773383670/Amlara_Ginger_Garlic_Paste_400_Gm_la9hxb.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773383670/Amlara_Ginger_Garlic_Paste_400_Gm_la9hxb.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773383670/Amlara_Ginger_Garlic_Paste_400_Gm_la9hxb.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773383670/Amlara_Ginger_Garlic_Paste_400_Gm_la9hxb.png",,10,Amlara Ginger Garlic Paste 400 Gm,Amlara Ginger Garlic Paste 400 Gm,https://res.cloudinary.com/deehc60xa/image/upload/v1773383670/Amlara_Ginger_Garlic_Paste_400_Gm_la9hxb.png
